4_finetune.py:113: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
total loss: tensor(3365.9153, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(84129.0312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3553.2415, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1743.1006, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5328.0259, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12233.9971, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1258.8627, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14629.0293, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8147.7393, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9804.0410, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17835.6309, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3527.3967, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(45730.3398, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3087.8721, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2065.4583, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3265.0430, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10466.9141, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7148.2261, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12711.0625, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(30521.1641, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4723.1353, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2333.3223, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8414.4492, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4259.5303, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1031.5751, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3421.6108, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(40599.5547, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6287.3931, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4320.7451, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2315.4309, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7821.1582, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15318.0898, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5671.1562, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3719.6362, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18809.7285, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5090.2881, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5197.3394, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(185414.2344, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2672.6411, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8202.0195, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(44401.7148, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(32632.0098, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21215.4219, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3758.8794, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3349.7056, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4797.5479, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11593.6797, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6936.8726, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4397.2231, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6079.2764, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3192.2534, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14072.6299, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19354.8457, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8094.6172, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4833.4155, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12333.4863, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4475.3564, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8738.8271, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11913.7129, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6809.5854, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(363647.9062, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15585.5332, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10649.9023, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8561.5938, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4761.2109, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6952.0967, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5724.1299, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2351.4517, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14864.7773, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2958.5906, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4366.0693, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1728.5082, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5980.0249, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7801.3730, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4471.7295, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3002.1541, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4175.8833, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5116.4556, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4500.1484, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(31148.9512, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(23851.7734, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9667.0059, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4782.6538, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4092.8984, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8365.5742, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(41572.2617, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11229.7979, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8022.3945, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8321.0605, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2659.5559, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3562.8499, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1918355.2500, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(29190.5352, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1910.7109, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11443.5020, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3330.1951, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15471.8750, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2202.7764, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1794.4146, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(35039.4375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1510.3496, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(875518.3125, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2507.4902, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9602.5303, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1333.5659, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1972.6221, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3418.0378, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7319.7344, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5605.6953, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6878.9487, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11862.4502, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6683.4575, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(20273., device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4718.3496, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2244.8694, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12987.9512, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(49879.0039, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(78865.0781, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2528.7981, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2353.0479, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4189.5107, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4863.1953, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9276.4902, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2933.1465, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3399.2466, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2128.3682, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2691.5496, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9854.2227, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3145.5540, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2178.4255, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3676.8379, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6635.6270, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4181.7324, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6668.9814, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3722.4907, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2501.0962, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10831.2744, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12487.7705, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(28164.4336, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2433.5918, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10396.2246, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11656.8555, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4473.3066, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5804.1597, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8004.8545, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2097.0447, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(33966.1367, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(29802.3711, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6859.9219, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2063.4275, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9985.1572, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6773.6523, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3197.1743, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7560.7852, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2577.3633, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2295.3320, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(39731.2383, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3013.9392, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2935.3438, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3408.2385, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1856.5620, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2538.8916, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2587.3711, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9871.4629, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3867.3665, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3269.8726, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7594.5811, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2955.8884, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4586.5815, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7371.1362, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4513.5220, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3003.4060, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2238.7009, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2801.9431, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13388.9287, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7862.3164, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5438.4502, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10391.3828, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9097.5713, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4212.2109, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12009.4609, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(31994.7793, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3656.6531, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2589.6714, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4235.0186, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6037.9287, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3746.5530, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17253.0449, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3242.3184, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2576.4861, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3369.4431, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(565890.9375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2190.2393, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7552.1562, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3465.3330, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10290.4990, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2389.6260, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(30469.1387, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(24989.2539, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(146475.5469, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7370.6353, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3267.3586, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3562.0146, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12142.6582, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6166.9805, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(42186.8203, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3034.1143, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21030.0684, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10747.9971, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3187.0308, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2522.0586, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4411.5767, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(23707.0977, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(29208.9258, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3305.6130, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12806.0254, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2302.6653, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1579.7351, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5014.6709, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1286.8400, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1785.9631, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10502.5645, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(72334.8516, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8207.1680, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(50065.5547, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2014.6487, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(48973.3438, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1372.5297, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3233.1174, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6328.4868, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1691.5769, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4806.8389, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8950.0068, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2849.6421, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7028.6152, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3911.8962, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2151.3008, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15715.3721, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3395.0681, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19188.7168, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3566.8472, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11691.3467, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2546.6055, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7416.4219, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2447.0432, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2175.0571, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7377.2666, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14195.7646, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4000.2192, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3100.7927, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(31496.5312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3562.2144, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19097.7559, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3166.1226, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1852.9781, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2904.4111, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2266.0229, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4838.0581, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4349.5830, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10972.6270, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4925.0352, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5285.0098, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4659.3608, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6578.7803, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(24002.1680, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4929.6968, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14558.8984, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6105.8975, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3428.6174, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3584.6914, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5345.9595, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(20484.0801, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6523.7812, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(69274.6250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(28198.1914, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5106.0381, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7144.2183, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1499.7688, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(49817.1484, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6407.8633, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12199.1855, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4861.5264, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(23539.2148, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(29070.8555, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2784.8960, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(80002.0859, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3317.8801, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9413.9844, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(22522.2031, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(279801.6875, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3162.4331, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2644.9224, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(187843.4375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2526.1177, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(405178.3750, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2536.5442, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8315.7207, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5705.4985, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2642.3811, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1451.7654, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5375.5762, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6595.3120, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3723.2083, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4158.1084, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9376.7510, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1729.3787, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5702.6792, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5327.8647, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(20830.1797, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3703.0435, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2717.3540, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7749.9272, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10271.9375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2133.1299, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2149.6152, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4823.7690, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(43532.2852, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6433.6011, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1348.7472, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2349.8081, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(26190.3359, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2457.3120, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1599.3898, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4053.1743, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(23534.0508, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2887.6995, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2178.4272, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3181.2656, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14861.0020, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1887.4380, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10902.9648, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3927.8560, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3960.3110, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18707.7305, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3488.5303, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(34736.4375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3868.7515, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9448.3896, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(33073.1094, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2935.4897, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(28056.0176, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5542.4229, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3164.9497, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10861.4912, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1914.6700, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3405.3086, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(150840.6875, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6910.6064, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3720.7979, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2229.3076, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3206.5239, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7201.9663, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1723.3878, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3034.1064, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6841.0049, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15920.5986, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10755.8320, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8174.0884, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3906.3728, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4570.8652, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14783.8506, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(41484.9180, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3253.1108, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(49946.9766, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11914.6602, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2109.8672, device='cuda:3', grad_fn=<DivBackward0>)
